site,ID,date,barr burden,barr prev
PIA,PIALBPTH,5,122,1
PIA,PIALBPTH,5,134,1
PIA,PIALBPTH,5,34,1
PIA,PIALBPTH,5,199,1
PIA,PIALBPTH,5,145,1
PIA,PIALBPTH,5,129,1
PIA,PIALBPTH,5,156,1
PIA,PIALBPTH,5,154,1
PIA,PIALBPTH,6,243,1
PIA,PIALBPTH,6,296,1
PIA,PIALBPTH,6,174,1
PIA,PIALBPTH,6,376,1
PIA,PIALBPTH,6,372,1
PIA,PIALBPTH,6,188,1
PIA,PIALBPTH,6,114,1
PIA,PIALBPTH,6,317,1
PIA,PIALBPTH,6,273,1
PIA,PIALBPTH,6,390,1
PIA,PIALBPTH,7,9,1
PIA,PIALBPTH,7,19,1
PIA,PIALBPTH,7,11,1
PIA,PIALBPTH,7,22,1
PIA,PIALBPTH,7,10,1
PIA,PIALBPTH,7,31,1
PIA,PIALBPTH,7,30,1
PIA,PIALBPTH,7,17,1
PIA,PIALBPTH,7,15,1
PIA,PIALBPTH,8,58,1
PIA,PIALBPTH,8,83,1
PIA,PIALBPTH,8,45,1
PIA,PIALBPTH,8,12,1
PIA,PIALBPTH,8,22,1
PIA,PIALBPTH,8,111,1
PIA,PIALBPTH,8,28,1
PIA,PIALBPTH,9,48,1
PIA,PIALBPTH,9,24,1
PIA,PIALBPTH,9,38,1
PIA,PIALBPTH,9,20,1
PIA,PIALBPTH,9,9,1
PIA,PIASJTH,1,10,1
PIA,PIASJTH,2,1,1
PIA,PIASJTH,2,18,1
PIA,PIASJTH,2,1,1
PIA,PIASJTH,2,5,1
PIA,PIASJTH,2,22,1
PIA,PIASJTH,4,0,0
PIA,PIASJTH,4,11,1
PIA,PIASJTH,5,18,1
PIA,PIASJTH,5,73,1
PIA,PIASJTH,5,55,1
PIA,PIASJTH,5,28,1
PIA,PIASJTH,5,56,1
PIA,PIASJTH,5,27,1
PIA,PIASJTH,5,18,1
PIA,PIASJTH,5,0,0
PIA,PIASJTH,6,65,1
PIA,PIASJTH,6,111,1
PIA,PIASJTH,6,21,1
PIA,PIASJTH,6,32,1
PIA,PIASJTH,6,90,1
PIA,PIASJTH,6,61,1
PIA,PIASJTH,6,73,1
PIA,PIASJTH,6,90,1
PIA,PIASJTH,6,56,1
PIA,PIASJTH,6,26,1
PIA,PIASJTH,7,50,1
PIA,PIASJTH,7,37,1
PIA,PIASJTH,7,40,1
PIA,PIASJTH,7,27,1
PIA,PIASJTH,8,34,1
PIA,PIASJTH,8,155,1
PIA,PIASJTH,8,25,1
PIA,PIASJTH,8,49,1
PIA,PIASJTH,8,73,1
PIA,PIASJTH,9,20,1
PIA,PIASJTH,9,26,1
PIA,PIASJTH,9,32,1
PIA,PIASJTH,9,168,1
PIA,PIASJTH,9,66,1
PIA,PIASJTH,9,56,1
SRSP,FCTH1,2,23,1
SRSP,FCTH1,2,0,0
SRSP,FCTH1,2,1,1
SRSP,FCTH1,2,8,1
SRSP,FCTH1,2,10,1
SRSP,FCTH1,2,13,1
SRSP,FCTH1,2,2,1
SRSP,FCTH1,2,13,1
SRSP,FCTH1,2,2,1
SRSP,FCTH1,2,1,1
SRSP,FCTH1,4,17,1
SRSP,FCTH1,4,7,1
SRSP,FCTH1,4,79,1
SRSP,FCTH1,4,10,1
SRSP,FCTH1,4,39,1
SRSP,FCTH1,4,42,1
SRSP,FCTH1,4,60,1
SRSP,FCTH1,4,1,1
SRSP,FCTH1,4,53,1
SRSP,FCTH1,4,52,1
SRSP,FCTH1,5,33,1
SRSP,FCTH1,5,16,1
SRSP,FCTH1,5,20,1
SRSP,FCTH1,5,9,1
SRSP,FCTH1,5,15,1
SRSP,FCTH1,5,39,1
SRSP,FCTH1,5,28,1
SRSP,FCTH1,5,38,1
SRSP,FCTH1,5,14,1
SRSP,FCTH1,5,27,1
SRSP,FCTH1,7,7,1
SRSP,FCTH1,7,6,1
SRSP,FCTH1,7,9,1
SRSP,FCTH1,7,10,1
SRSP,FCTH1,7,31,1
SRSP,FCTH1,7,15,1
SRSP,FCTH1,8,21,1
SRSP,FCTH1,8,12,1
SRSP,FCTH1,8,34,1
SRSP,FCTH1,8,50,1
SRSP,FCTH1,8,9,1
SRSP,FCTH1,8,41,1
SRSP,FCTH1,8,19,1
SRSP,FCTH1,8,0,0
SRSP,FCTH1,8,28,1
SRSP,FCTH1,8,32,1
SRSP,FCTH1,9,50,1
SRSP,FCTH1,9,10,1
SRSP,FCTH1,9,4,1
SRSP,FCTH1,9,16,1
SRSP,FCTH1,9,21,1
SRSP,FCTH2,1,1,1
SRSP,FCTH2,1,0,0
SRSP,FCTH2,1,4,1
SRSP,FCTH2,1,7,1
SRSP,FCTH2,1,3,1
SRSP,FCTH2,1,0,0
SRSP,FCTH2,1,1,1
SRSP,FCTH2,1,1,1
SRSP,FCTH2,1,6,1
SRSP,FCTH2,1,5,1
SRSP,FCTH2,2,9,1
SRSP,FCTH2,2,4,1
SRSP,FCTH2,2,0,0
SRSP,FCTH2,2,0,0
